set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,center_X,true_beta,pred_beta,pred_intercept,true_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimG_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,"[[1.32304335624397, 0.174513431134857, -0.732086222418357, -0.936197858485154, 0.36196539839377], [0.492809773841119]]",SimG_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100,1.06721186637878,0.00780248641967773,2025-06-16 23:28:04.116865,SimG,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.32304335624397, 0.174513431134857, -0.732086222418357, -0.936197858485154, 0.36196539839377]",0.49280977384111896,0.0,0.4467430630420389,0.20454891887546006,0.5143397503586634,0.21093434459510585
SimG_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,500,"[[0.866210773593989, -0.193670594907332, -0.112224786292277, -0.531710482082531, 0.51481668889584], [-0.245897124118606]]",SimG_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500,0.521301507949829,0.0071933269500732405,2025-06-16 23:28:10.011634,SimG,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.866210773593989, -0.193670594907332, -0.112224786292277, -0.531710482082531, 0.51481668889584]",-0.245897124118606,0.0,0.1844163483343534,0.2676900112701148,0.2776082647534338,0.23315257533339587
SimG_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,1000,"[[1.31612945420696, 0.109194224978701, -0.479419390712163, -0.738776097957371, 0.283607180879954], [-0.107270627777538]]",SimG_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000,0.242799520492554,0.00737237930297852,2025-06-16 23:28:13.863421,SimG,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.31612945420696, 0.109194224978701, -0.479419390712163, -0.738776097957371, 0.283607180879954]",-0.107270627777538,0.0,0.4149710889666546,0.2134640119163294,0.41994896896482786,0.17980450786090565
SimG_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,5000,"[[0.881440045345987, -0.199624813153803, -0.272408516800818, -0.641686843253882, 0.331156567244995], [-0.207881798641513]]",SimG_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000,0.37059402465820296,0.00815463066101074,2025-06-16 23:28:18.106576,SimG,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.881440045345987, -0.199624813153803, -0.272408516800818, -0.641686843253882, 0.331156567244995]",-0.207881798641513,0.0,0.16122603845932335,0.2517207520249628,0.23604989743072224,0.21696976705520746
SimG_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,10000,"[[0.881108665386266, -0.235889609081644, -0.223629364654179, -0.566043896955119, 0.371807280382228], [-0.220155092290454]]",SimG_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000,0.5391552448272711,0.00946807861328125,2025-06-16 23:28:24.210421,SimG,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.881108665386266, -0.235889609081644, -0.223629364654179, -0.566043896955119, 0.371807280382228]",-0.220155092290454,0.0,0.10853592960892086,0.2574073361403973,0.21666985283290263,0.22258415756056746
SimG_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,50000,"[[0.835370925950203, -0.271776230913283, -0.190691998993167, -0.523150638034898, 0.410136705785942], [-0.224781781917224]]",SimG_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_50000,2.08269238471985,0.374496221542358,2025-06-16 23:28:32.270456,SimG,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.835370925950203, -0.271776230913283, -0.190691998993167, -0.523150638034898, 0.410136705785942]",-0.224781781917224,0.0,0.0758391566368195,0.2723062379645134,0.21223034132747298,0.2353430065507416
SimG_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,100,"[[1.20528522310673, -1.23622050171668, -1.08756886842115, -1.94336815155567, 0.90947727007009], [0.0683272252775024]]",SimG_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_100,0.324852228164673,0.00825381278991699,2025-06-16 23:28:55.762427,SimG,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.20528522310673, -1.23622050171668, -1.08756886842115, -1.94336815155567, 0.90947727007009]",0.0683272252775024,0.0,0.41991845813623546,0.3276058827965335,0.4205141443245382,0.27378300394946503
SimG_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,500,"[[1.52187312993806, -0.0875149453559138, -0.643284451034784, -0.867241550610788, 0.39555140944343], [-0.0541892660378048]]",SimG_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_500,0.466104984283447,0.008435964584350591,2025-06-16 23:29:00.377124,SimG,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.52187312993806, -0.0875149453559138, -0.643284451034784, -0.867241550610788, 0.39555140944343]",-0.0541892660378048,0.0,0.31399052718648024,0.11233382004014905,0.31522746554996234,0.09410092945907687
SimG_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,1000,"[[1.74616340970346, 0.103006172290014, -0.751849246558861, -1.05058772267884, 0.460111035135564], [-0.0474417197911872]]",SimG_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_1000,0.359508991241455,0.008768081665039059,2025-06-16 23:29:05.52235,SimG,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.74616340970346, 0.103006172290014, -0.751849246558861, -1.05058772267884, 0.460111035135564]",-0.0474417197911872,0.0,0.38392838923791445,0.14810460862317798,0.38449166659225403,0.12379562664877257
SimG_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,5000,"[[1.66428000154643, 0.0757932355686785, -0.693619023707135, -1.10201411034504, 0.241622424962205], [0.0741636995387951]]",SimG_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_5000,0.5147974491119379,0.0101289749145508,2025-06-16 23:29:10.259984,SimG,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.66428000154643, 0.0757932355686785, -0.693619023707135, -1.10201411034504, 0.241622424962205]",0.0741636995387951,0.0,0.4265556734310389,0.17832874272552174,0.4278885096287444,0.14952399465948155
